issue_id,issue_type,detected_on,status,notes
ISSUE-0001,Duplicate Transaction,2025-02-05,Resolved,Resolved after correction
ISSUE-0002,Duplicate Transaction,2025-04-28,In Progress,Investigated and documented
ISSUE-0003,Outlier Revenue,2025-06-09,In Progress,Requires source system check
ISSUE-0004,Invalid Date,2025-03-16,In Progress,Investigated and documented
ISSUE-0005,Invalid Date,2025-05-09,Resolved,Resolved after correction
ISSUE-0006,Duplicate Transaction,2024-05-10,Open,Flagged during validation run
ISSUE-0007,Duplicate Transaction,2024-04-25,Resolved,Investigated and documented
ISSUE-0008,Invalid Date,2025-11-21,In Progress,Flagged during validation run
ISSUE-0009,Mismatch Approval Flag,2024-01-16,Open,Requires source system check
ISSUE-0010,Mismatch Approval Flag,2025-06-06,In Progress,Investigated and documented
ISSUE-0011,Mismatch Approval Flag,2025-10-16,Open,Investigated and documented
ISSUE-0012,Outlier Revenue,2024-11-12,In Progress,Investigated and documented
ISSUE-0013,Missing Customer,2025-02-20,Resolved,Resolved after correction
ISSUE-0014,Invalid Date,2025-08-21,Resolved,Requires source system check
ISSUE-0015,Outlier Revenue,2024-04-25,Open,Resolved after correction
ISSUE-0016,Missing Customer,2024-02-01,Resolved,Resolved after correction
ISSUE-0017,Invalid Date,2025-02-02,Open,Requires source system check
ISSUE-0018,Invalid Date,2025-05-09,In Progress,Flagged during validation run
ISSUE-0019,Invalid Date,2025-11-17,Resolved,Flagged during validation run
ISSUE-0020,Invalid Date,2024-01-07,In Progress,Investigated and documented
ISSUE-0021,Duplicate Transaction,2025-01-10,In Progress,Investigated and documented
ISSUE-0022,Missing Customer,2024-06-18,Resolved,Investigated and documented
ISSUE-0023,Duplicate Transaction,2024-08-11,Resolved,Investigated and documented
ISSUE-0024,Missing Customer,2024-11-18,Open,Investigated and documented
ISSUE-0025,Duplicate Transaction,2024-12-10,In Progress,Requires source system check
ISSUE-0026,Missing Customer,2024-08-24,Open,Requires source system check
ISSUE-0027,Outlier Revenue,2024-09-29,Resolved,Flagged during validation run
ISSUE-0028,Missing Customer,2024-05-08,Resolved,Needs stakeholder confirmation
ISSUE-0029,Mismatch Approval Flag,2025-01-17,Open,Investigated and documented
ISSUE-0030,Invalid Date,2024-06-03,Resolved,Resolved after correction
ISSUE-0031,Outlier Revenue,2025-10-18,Open,Resolved after correction
ISSUE-0032,Invalid Date,2024-09-04,In Progress,Flagged during validation run
ISSUE-0033,Mismatch Approval Flag,2025-08-21,Open,Requires source system check
ISSUE-0034,Outlier Revenue,2025-10-15,Open,Needs stakeholder confirmation
ISSUE-0035,Outlier Revenue,2024-01-02,Resolved,Flagged during validation run
ISSUE-0036,Mismatch Approval Flag,2024-05-15,Resolved,Investigated and documented
ISSUE-0037,Missing Customer,2024-11-03,In Progress,Investigated and documented
ISSUE-0038,Missing Customer,2024-12-20,Resolved,Needs stakeholder confirmation
ISSUE-0039,Duplicate Transaction,2024-06-23,Resolved,Needs stakeholder confirmation
ISSUE-0040,Invalid Date,2025-01-13,In Progress,Requires source system check
ISSUE-0041,Invalid Date,2024-02-17,Resolved,Requires source system check
ISSUE-0042,Mismatch Approval Flag,2024-10-08,In Progress,Flagged during validation run
ISSUE-0043,Invalid Date,2025-01-13,Resolved,Needs stakeholder confirmation
ISSUE-0044,Invalid Date,2024-02-17,Open,Requires source system check
ISSUE-0045,Mismatch Approval Flag,2025-04-09,In Progress,Resolved after correction
ISSUE-0046,Mismatch Approval Flag,2025-08-27,In Progress,Requires source system check
ISSUE-0047,Invalid Date,2024-12-05,In Progress,Needs stakeholder confirmation
ISSUE-0048,Outlier Revenue,2025-02-09,Open,Requires source system check
ISSUE-0049,Duplicate Transaction,2024-09-23,Open,Flagged during validation run
ISSUE-0050,Mismatch Approval Flag,2024-04-08,In Progress,Needs stakeholder confirmation
ISSUE-0051,Missing Customer,2024-01-02,Resolved,Resolved after correction
ISSUE-0052,Mismatch Approval Flag,2024-09-04,Resolved,Investigated and documented
ISSUE-0053,Invalid Date,2025-03-06,In Progress,Resolved after correction
ISSUE-0054,Invalid Date,2025-07-03,Open,Requires source system check
ISSUE-0055,Mismatch Approval Flag,2025-12-15,In Progress,Flagged during validation run
ISSUE-0056,Invalid Date,2024-10-10,Resolved,Requires source system check
ISSUE-0057,Invalid Date,2024-05-04,Open,Resolved after correction
ISSUE-0058,Missing Customer,2025-01-19,Open,Requires source system check
ISSUE-0059,Outlier Revenue,2025-01-17,Resolved,Requires source system check
ISSUE-0060,Mismatch Approval Flag,2024-12-26,In Progress,Needs stakeholder confirmation
